X,Y,Z,MD,TVD
2180573.631,496306.4984,-7087.620017,17400,9114.620017
2180584.55,496260.8058,-7088.944645,17447,9115.944645
2180595.492,496215.1172,-7090.226226,17494,9117.226226
2180606.701,496169.4918,-7091.446307,17541,9118.446307
2180618.047,496123.8991,-7092.61512,17588,9119.61512
2180629.402,496078.3073,-7093.742931,17635,9120.742931
2180640.693,496032.7005,-7094.901498,17682,9121.901498
2180651.847,495987.0629,-7096.162568,17729,9123.162568
2180663.161,495940.9503,-7097.457778,17776.5,9124.457778
2180674.692,495894.8899,-7098.690833,17824,9125.690833
2180686.158,495849.3276,-7099.886301,17871,9126.886301
2180697.52,495803.7398,-7101.094068,17918,9128.094068
2180708.95,495757.6546,-7102.339545,17965.5,9129.339545
2180720.381,495711.5703,-7103.622315,18013,9130.622315
2180727.838,495681.1508,-7104.475341,18044.33333,9131.475341
2180735.131,495650.6912,-7105.317446,18075.66667,9132.317446
2180742.26,495620.1922,-7106.148605,18107,9133.148605
2180752.78,495574.403,-7107.360473,18154,9134.360473
2180763.205,495528.5905,-7108.519037,18201,9135.519037
2180773.587,495482.7676,-7109.659149,18248,9136.659149
2180783.976,495436.9469,-7110.815662,18295,9137.815662
2180794.419,495391.1382,-7111.959876,18342,9138.959876
2180804.962,495345.3515,-7113.063086,18389,9140.063086
2180815.504,495299.5644,-7114.172447,18436,9141.172447
2180825.941,495253.7548,-7115.335113,18483,9142.335113
2180836.408,495207.4403,-7116.543296,18530.5,9143.543296
2180846.819,495161.1133,-7117.763911,18578,9144.763911
2180857.049,495115.2587,-7118.983979,18625,9145.983979
2180867.196,495069.3857,-7120.216347,18672,9147.216347
2180877.353,495023.5152,-7121.461016,18719,9148.461016
2180887.613,494977.6682,-7122.717985,18766,9149.717985
2180894.493,494947.1088,-7123.414273,18797.33333,9150.414273
2180901.38,494916.5461,-7123.818944,18828.66667,9150.818944
2180908.276,494885.9826,-7123.931963,18860,9150.931963
2180918.628,494840.139,-7123.895049,18907,9150.895049
2180928.988,494794.2972,-7123.882745,18954,9150.882745
2180939.234,494748.9421,-7123.901005,19000.5,9150.901005
2180949.465,494703.5836,-7123.955787,19047,9150.955787
2180959.923,494657.2514,-7124.011746,19094.5,9151.011746
2180970.414,494610.9265,-7124.030399,19142,9151.030399
2180980.808,494565.0924,-7124.030399,19189,9151.030399
2180991.199,494519.2573,-7124.030399,19236,9151.030399
2181001.511,494473.4047,-7124.00579,19283,9151.00579
2181011.671,494427.5182,-7123.931963,19330,9150.931963
2181025.294,494366.3534,-7123.800711,19392.66667,9150.800711
2181039.274,494305.2688,-7123.669458,19455.33333,9150.669458
2181053.608,494244.2665,-7123.538207,19518,9150.538207
2181064.408,494198.5263,-7123.54641,19565,9150.54641
2181075.04,494152.7474,-7123.767892,19612,9150.767892
2181085.396,494107.4184,-7124.041799,19658.5,9151.041799
2181095.595,494062.053,-7124.21426,19705,9151.21426
2181105.875,494016.1934,-7124.351661,19752,9151.351661
2181116.259,493970.3573,-7124.517772,19799,9151.517772
2181126.714,493924.5372,-7124.710543,19846,9151.710543
2181137.204,493878.7255,-7124.927923,19893,9151.927923
2181144.302,493848.2093,-7125.173109,19924.33333,9152.173109
2181151.587,493817.739,-7125.602405,19955.66667,9152.602405
2181159.056,493787.3167,-7126.215781,19987,9153.215781
2181166.537,493756.8959,-7126.761715,20018.33333,9153.761715
2181173.853,493726.4312,-7126.98867,20049.66667,9153.98867
2181181.005,493695.9267,-7126.896616,20081,9153.896616
2181188.085,493665.4071,-7126.552096,20112.33333,9153.552096
2181195.185,493634.8949,-7126.021658,20143.66667,9153.021658
2181202.306,493604.3913,-7125.305322,20175,9152.305322
2181209.731,493572.5966,-7124.310583,20207.66667,9151.310583
2181217.134,493540.808,-7123.013857,20240.33333,9150.013857
2181224.516,493509.028,-7121.415256,20273,9148.415256
2181231.601,493478.5628,-7119.586111,20304.33333,9146.586111
2181238.718,493448.1244,-7117.454971,20335.66667,9144.454971
2181245.865,493417.7158,-7115.022036,20367,9142.022036
2181253.08,493387.3165,-7112.677258,20398.33333,9139.677258
2181260.401,493356.9092,-7110.810801,20429.66667,9137.810801
2181267.824,493326.5012,-7109.42312,20461,9136.42312
2181275.258,493296.0814,-7108.396099,20492.33333,9135.396099
2181282.612,493265.635,-7107.611419,20523.66667,9134.611419
2181289.887,493235.1641,-7107.069132,20555,9134.069132
2181297.013,493204.9971,-7106.791396,20586,9133.791396
2181304.078,493174.8145,-7106.791396,20617,9133.791396
2181311.082,493144.6188,-7107.069132,20648,9134.069132
2181321.851,493098.3622,-7107.713687,20695.5,9134.713687
2181332.788,493052.1455,-7108.370676,20743,9135.370676
2181339.955,493021.9887,-7108.716041,20774,9135.716041
2181347.068,492991.8177,-7108.886472,20805,9135.886472
2181354.126,492961.6333,-7108.881963,20836,9135.881963
2181361.189,492930.7667,-7108.671009,20867.66667,9135.671009
2181368.012,492899.8486,-7108.226083,20899.33333,9135.226083
2181374.595,492868.8828,-7107.547234,20931,9134.547234
2181380.859,492838.538,-7106.616757,20962,9133.616757
2181386.997,492808.1783,-7105.383466,20993,9132.383466
2181393.009,492777.8072,-7103.847501,21024,9130.847501
